"Nota_Parcial" "Nota_Final" "Grup"
"1" 35 34 1
"2" 45 30 0
"3" 64 19 1
"4" 67 30 0
"5" 82 31 0
"6" 50 34 1
"7" 68 30 0
"8" 46 23 2
"9" 43 51 2
"10" 77 53 1
"11" 64 39 2
"12" 30 30 2
"13" 54 2 0
"14" 68 39 1
"15" 59 74 1
"16" 57 8 0
"17" 73 25 2
"18" 51 37 0
"19" 47 4 0
"20" 53 37 0
"21" 52 52 1
"22" 9 4 1
"23" 63 31 2
"24" 78 53 2
"25" 50 19 2
"26" 72 32 2
"27" 23 23 2
"28" 55 23 2
"29" 30 3 0
"30" 88 63 0
"31" 50 41 2
"32" 81 30 1
"33" 54 48 0
"34" 75 55 0
"35" 31 10 2
"36" 60 43 2
"37" 36 21 2
"38" 57 25 2
"39" 44 58 0
"40" 70 24 2
"41" 90 55 2
"42" 33 43 0
"43" 36 19 2
"44" 60 26 2
"45" 64 30 0
"46" 52 36 2
"47" 53 17 2
"48" 74 72 1
"49" 64 76 0
"50" 100 78 0
"51" 67 30 1
"52" 38 18 2
"53" 50 25 2
"54" 63 16 0
"55" 62 26 2
"56" 58 35 0
"57" 46 36 0
"58" 94 61 0
"59" 94 61 2
"60" 30 30 1
"61" 67 55 2
"62" 80 35 2
"63" 13 5 1
"64" 59 23 2
"65" 73 30 1
"66" 68 61 1
"67" 68 19 2
"68" 71 17 2
"69" 43 44 1
"70" 55 69 1
"71" 43 35 1
"72" 64 45 1
"73" 60 76 0
"74" 70 30 1
"75" 57 6 0
"76" 72 43 2
"77" 74 41 2
"78" 66 29 1
"79" 70 54 0
"80" 96 50 2
"81" 51 32 0
"82" 64 35 1
"83" 66 60 0
"84" 92 38 2
"85" 55 28 2
"86" 67 28 2
"87" 56 17 2
"88" 79 18 0
"89" 77 51 0
"90" 45 46 1
"91" 71 35 0
"92" 72 58 2
"93" 68 46 0
"94" 52 50 2
"95" 55 26 2
"96" 69 30 0
"97" 70 19 1
"98" 72 52 0
"99" 45 65 1
"100" 71 62 1
"101" 60 75 1
"102" 55 53 2
"103" 78 60 0
"104" 69 62 0
"105" 65 30 0
"106" 48 18 2
"107" 96 54 2
"108" 67 35 1
"109" 78 46 2
"110" 62 54 1
"111" 51 39 0
"112" 74 35 2
"113" 41 40 1
"114" 71 40 2
"115" 80 30 0
"116" 56 41 0
"117" 54 53 2
"118" 66 50 0
"119" 35 2 0
"120" 44 24 2
"121" 72 20 2
"122" 82 58 2
"123" 96 53 2
"124" 60 30 0
"125" 94 52 2
"126" 60 30 2
"127" 43 36 2
"128" 80 25 2
"129" 48 54 0
"130" 57 57 1
"131" 63 8 2
"132" 53 30 0
"133" 37 19 0
"134" 63 61 1
"135" 52 70 1
"136" 48 35 0
"137" 77 85 0
"138" 56 39 1
"139" 94 48 2
"140" 80 37 2
"141" 90 32 2
"142" 62 10 2
"143" 84 41 2
"144" 67 8 0
"145" 54 48 1
"146" 69 49 0
"147" 70 18 0
"148" 90 58 2
"149" 86 58 1
"150" 79 65 1
"151" 76 30 2
"152" 3 15 1
"153" 61 63 1
"154" 65 57 0
"155" 26 15 0
"156" 13 36 0
